degree,n,percentage,label
"Berufslehre (EFZ, EBA)",1,5,"Berufslehre (EFZ, EBA)
5%"
Universität/ETH - Bachelor,12,60,"Universität/ETH - Bachelor
60%"
Universität/ETH - Master,7,35,"Universität/ETH - Master
35%"
